File_Version	1
87	201123	7590	I Triple Dare You	Universidade Estadual de Campinas	UNICAMP	BRA
78	201115	7590	Bugs, Lucas y Coyote	Universidad Católica San Pablo	UCSP	PER
55	201116	7590	Los Chobys del Averno	Pontificia Universidad Católica del Perú	PUCP	PER
83	201113	7590	Los Chidory	Universidad Panamericana Campus Bonaterra	UP Bonaterra	MEX
79	201114	7590	Melarita	Universidad de Buenos Aires - FCEN	U Buenos Aires	ARG
84	201119	7590	UTP 0x7DD	Universidad Tecnologica de Pereira	UTP	COL
86	201120	7590	Ñtemtempabobagi	Universidade de São Paulo - Campus de São Carlos	USP - ICMC	BRA
80	201117	7590	Alonso y los Strawberries	Universidad de Chile	UChile	CHL
82	201118	7590	UNALgorithm	Universidad Nacional de Colombia - Bogotá	UNAL Bogotá	COL
15	201111	7590	Hurones Pwneadores	Escuela Superior De Computo Instituto Politecnico Nacional	ESCOM IPN	MEX
77	201112	7590	Peludos	Universidad Autónoma de Aguascalientes	UAA	MEX
28	201109	7590	In yo' face!	Instituto Tecnológico de Santo Domingo	INTEC	DOM
81	201110	7590	Napster	Universidad de Oriente - Sede Antonio Maceo	UO-SAM	CUB
32	201134	7594	Izhevsk STU: CynepMyTaHTbl	Izhevsk State Technical University	Izhevsk STU	RUS
54	201133	7594	Petrozavodsk SU	Petrozavodsk State University	Petrozavodsk SU	RUS
101	201136	7594	unusual	University of Latvia	Latvia	LVA
42	201135	7594	MSU Tashkent 1	Moscow State University - Tashkent	MSU Tashkent	UZB
43	201130	7594	Viral Team	National Research University Higher School of Economics	NRU-HSE	RUS
40	201129	7594	The Sun	Moscow Institute of Physics & Technology	MIPT	RUS
113	201439	7594	UWr1	University of Wroclaw	U Wroclaw	POL
35	201132	7594	KTU1	Kaunas University of Technology	KTU	LTU
64	201131	7594	SPb NRU ITMO 01	St. Petersburg National Research University of IT, Mechanics and Optics	SPbSU ITMO	RUS
41	201126	7594	Moscow SU Tapirs	Moscow State University	Moscow State U	RUS
65	201125	7594	SPb SU 4	St. Petersburg State University	St. Petersburg SU	RUS
115	201128	7594	Ural FU 1	Ural Federal University	Ural FU	RUS
58	201127	7594	Saratov SU 1	Saratov State University	Saratov State U	RUS
13	201083	7594	geen.opdracht5	Delft University of Technology	TU Delft	NLD
95	201084	7594	Beuler	University of Cambridge	Cambridge	GBR
90	201085	7594	COMEFROM Saar	Universitaet des Saarlandes	UdS	DEU
12	201086	7594	Docikáme ďalej	Comenius University	Comenius U	SVK
33	201087	7594	Jagiellonian	Jagiellonian University in Krakow	Jagiellonian	POL
111	201088	7594	Warsaw Eagles 2014	University of Warsaw	U Warsaw	POL
46	201141	7594	MISiS	National University of Science and Technology "MISiS"	MISiS	RUS
8	201137	7594	Belarusian SU #1	Belarusian State University	Belarusian SU	BLR
48	201138	7594	NU 1	Nazarbayev University	Nazarbayev U	KAZ
51	201139	7594	Novosibirsk SU 1	Novosibirsk State University	Novosibirsk SU	RUS
30	201140	7594	IITU 1	International IT University	IITU	KAZ
69	201092	7594	Phantom Menace	Taurida V.I. Vernadsky National University	Taurida NU	UKR
68	201091	7594	BZFlags	Taras Shevchenko Kiev National University	TS Kiev NU	UKR
116	201090	7594	SobolevTeam	V.N. Karazin Kharkiv National University	Kharkiv NU	UKR
114	201089	7594	Zagreb	University of Zagreb	Zagreb	HRV
118	201095	7594	VNTU_[wRabbits]	Vinnytsia National Technical University	Vinnytsia NTU	UKR
92	201094	7594	Unibuc_BigDawgs	University of Bucharest	Bucharest	ROU
52	201093	7594	ONU 1 2/3	Odessa National Mechnikov University	Odessa NU	UKR
91	201107	7594	Max-troll Min-nut	Universitat Politècnica de Catalunya	UP Catalunya	ESP
16	201108	7594	ETH ✚ ¯\_ (ツ)_/¯	ETH Zürich	ETH Zürich	CHE
