Country	Inst-u-key	Institution	Institution short name	Home page	Twitter Name	Twitter Hash	Name	Abbreviation
VNM	INST-U-3303	University of Engineering and Technology - VNU	UET - VNU	http://e.uet.vnu.edu.vn		#UETVNU	University of Engineering and Technology - VNU	UET - VNU
FIN	INST-U-2986	University of Helsinki	U Helsinki	http://www.helsinki.fi/university		#UHelsinki	University of Helsinki	U Helsinki
USA	INST-U-2170	University of Illinois at Urbana-Champaign	U Illinois at U-C	http://illinois.edu	@Illinois_Alma	#Illini	University of Illinois at Urbana-Champaign	U Illinois at U-C
USA	INST-U-2231	University of Minnesota - Twin Cities	U Minnesota - TC	http://www.umn.edu	@UMNews	#UMN	University of Minnesota - Twin Cities	U Minnesota - TC
AUS	INST-U-2215	University of New South Wales	U New South Wales	http://www.cse.unsw.edu.au	@UNSW	#UNSW	University of New South Wales	U New South Wales
USA	INST-U-2219	University of North Carolina at Chapel Hill	UNC	http://www.cs.unc.edu		#UNC	University of North Carolina at Chapel Hill	UNC
USA	INST-U-0149	University of Southern California	USC	http://www.usc.edu	@USC	#USC	University of Southern California	USC
USA	INST-U-2308	University of Utah	Utah	http://www.utah.edu		#UUtah	University of Utah	Utah
USA	INST-U-2310	University of Virginia	U Virginia	http://acm.cs.virginia.edu	@UVA	#UVA	University of Virginia	U Virginia
POL	INST-U-2389	University of Warsaw	U Warsaw	http://www.uw.edu.pl	@UWarsaw	#UWarsaw	University of Warsaw	U Warsaw
CAN	INST-U-2312	University of Waterloo	U Waterloo	http://www.uwaterloo.ca	@uWaterloo	#UWaterloo	University of Waterloo	U Waterloo
USA	INST-U-2317	University of Wisconsin - Madison	U Wisconsin - Madison	http://www.wisc.edu	@UWMadison	#UWMadison	University of Wisconsin - Madison	U Wisconsin - Madison
POL	INST-U-2326	University of Wroclaw	U Wroclaw	http://www.uni.wroc.pl	@UWroclaw	#UWroclaw	University of Wroclaw	U Wroclaw
HRV	INST-U-2468	University of Zagreb	Zagreb	http://www.unizg.hr	@ZagrebU	#ZagrebU	University of Zagreb	Zagreb
RUS	INST-U-4852	Ural Federal University	Ural FU	http://www.ustu.ru	@urfu	#UralFU	Ural Federal University	Ural FU
NLD	INST-U-2347	Utrecht University	Utrecht University	http://www.cs.uu.nl		#UtrechtUni	Utrecht University	Utrecht University
USA	INST-U-2368	Virginia Tech	Virginia Tech	http://www.cs.vt.edu	@virginia_tech	#VirginiaTech	Virginia Tech	Virginia Tech
UKR	INST-U-5704	Zaporizhzhya National Technical University	ZNTU	http://zntu.edu.ua		#ZNTU	Zaporizhzhya National Technical University	ZNTU
CHN	INST-U-2884	Zhejiang Normal University	ZJNU	http://www.zjnu.edu.cn		#ZJNU	Zhejiang Normal University	ZJNU
CHN	INST-U-2457	Zhejiang University	Zhejiang U	http://acm.zju.edu.cn	@ZheJiangUniv	#ZhejiangU	Zhejiang University	Zhejiang U
CHN	INST-U-2461	Zhongshan (Sun Yat-sen) University	Zhongshan U	http://www.sysu.edu.cn		#ZhongshanU	Zhongshan (Sun Yat-sen) University	Zhongshan U
