team_id,peer,avatar
kevinxiehk,kevinxiehk-51,https://userpic.codeforces.org/487461/title/3574e966a21b240a.jpg
kevinyang,kevinyang-89,https://userpic.codeforces.org/1400871/title/fe09c251169a1093.jpg
kondasujay2,kondasujay2-67,https://userpic.codeforces.org/no-title.jpg
ksun48,ksun48-48,https://userpic.codeforces.org/no-title.jpg
leinad2,leinad2-46,https://userpic.codeforces.org/no-title.jpg
lethan3,lethan3-76,https://userpic.codeforces.org/1714539/title/b04c969cd26f5808.jpg
literalchild,literalchild-46,https://userpic.codeforces.org/no-title.jpg
makrav,makrav-41,https://userpic.codeforces.org/no-title.jpg
maomao90,maomao90-07,https://userpic.codeforces.org/no-title.jpg
meowcneil,meowcneil-44,https://userpic.codeforces.org/no-title.jpg
mxj_helen,mxj_helen-20,https://userpic.codeforces.org/2538062/title/6109fd8d0276cb4b.jpg
nifeshe,nifeshe-59,https://userpic.codeforces.org/no-title.jpg
orz,orz-65,https://userpic.codeforces.org/140199/title/5d6c156baba23056.jpg
p0tato,p0tato-81,https://userpic.codeforces.org/1426862/title/e94d1d30b9f15ff1.jpg
pashka,pashka-35,https://userpic.codeforces.org/1515/title/ff195bd5a007b119.jpg
peti1234,peti1234-50,https://userpic.codeforces.org/424529/title/24302789ffb11c44.jpg
platter,platter-40,https://userpic.codeforces.org/no-title.jpg
qiuzx,qiuzx-20,https://userpic.codeforces.org/874498/title/1447aa32cde56b33.jpg
rolandpetrean,rolandpetrean-52,https://userpic.codeforces.org/2419781/title/4565f8a8fff4803c.jpg
sevlll777,sevlll777-10,https://userpic.codeforces.org/839333/title/6617d00cb805ce5c.jpg
snowysecret,snowysecret-04,https://userpic.codeforces.org/1412644/title/a60224d85926880.jpg
tourist,tourist-78,https://userpic.codeforces.org/422/title/50a270ed4a722867.jpg
turmax,turmax-45,https://userpic.codeforces.org/no-title.jpg
wery0,wery0-48,https://userpic.codeforces.org/661542/title/6c7ea637070e4aab.jpg
wxhtzdy,wxhtzdy-03,https://userpic.codeforces.org/1492895/title/3f24aba2f57a1bed.jpg
xiaowuc1,xiaowuc1-53,https://userpic.codeforces.org/1155/title/f9521dbbe9614f34.jpg
erekle,erekle-81,https://codeforces.com/userpic.codeforces.org/911575/title/8a589852f2d4cf6b.jpg
