2024-12-06 14:49:48.761 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.CodeHeap-'profiled-nmethods'.init, value=2555904
2024-12-06 14:49:48.761 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.CodeHeap-'profiled-nmethods'.max, value=122908672
2024-12-06 14:49:48.761 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.CodeHeap-'profiled-nmethods'.usage, value=0.14936827240310593
2024-12-06 14:49:48.761 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.CodeHeap-'profiled-nmethods'.used, value=18358656
2024-12-06 14:49:48.761 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.Compressed-Class-Space.committed, value=4915200
2024-12-06 14:49:48.761 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.Compressed-Class-Space.init, value=0
2024-12-06 14:49:48.761 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.Compressed-Class-Space.max, value=1073741824
2024-12-06 14:49:48.761 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.Compressed-Class-Space.usage, value=0.0044663697481155396
2024-12-06 14:49:48.761 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.Compressed-Class-Space.used, value=4795728
2024-12-06 14:49:48.761 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.G1-Eden-Space.committed, value=3145728
2024-12-06 14:49:48.761 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.G1-Eden-Space.init, value=14680064
2024-12-06 14:49:48.761 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.G1-Eden-Space.max, value=-1
2024-12-06 14:49:48.761 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.G1-Eden-Space.usage, value=0.0
2024-12-06 14:49:48.761 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.G1-Eden-Space.used, value=0
2024-12-06 14:49:48.761 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.G1-Eden-Space.used-after-gc, value=0
2024-12-06 14:49:48.761 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.G1-Old-Gen.committed, value=31457280
2024-12-06 14:49:48.761 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.G1-Old-Gen.init, value=113246208
2024-12-06 14:49:48.761 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.G1-Old-Gen.max, value=1073741824
2024-12-06 14:49:48.761 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.G1-Old-Gen.usage, value=0.02115713804960251
2024-12-06 14:49:48.761 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.G1-Old-Gen.used, value=22717304
2024-12-06 14:49:48.761 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.G1-Old-Gen.used-after-gc, value=19497336
2024-12-06 14:49:48.761 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.G1-Survivor-Space.committed, value=1048576
2024-12-06 14:49:48.761 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.G1-Survivor-Space.init, value=0
2024-12-06 14:49:48.761 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.G1-Survivor-Space.max, value=-1
2024-12-06 14:49:48.761 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.G1-Survivor-Space.usage, value=0.6963272094726562
2024-12-06 14:49:48.761 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.G1-Survivor-Space.used, value=730152
2024-12-06 14:49:48.761 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.G1-Survivor-Space.used-after-gc, value=730152
2024-12-06 14:49:48.761 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.Metaspace.committed, value=43515904
2024-12-06 14:49:48.761 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.Metaspace.init, value=0
2024-12-06 14:49:48.761 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.Metaspace.max, value=-1
2024-12-06 14:49:48.762 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.Metaspace.usage, value=0.9934144537132906
2024-12-06 14:49:48.762 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.pools.Metaspace.used, value=43229328
2024-12-06 14:49:48.762 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.total.committed, value=113639424
2024-12-06 14:49:48.762 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.total.init, value=135593984
2024-12-06 14:49:48.762 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.total.max, value=-1
2024-12-06 14:49:48.762 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.total.used, value=98059648
2024-12-06 14:49:48.762 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.threads.blocked.count, value=0
2024-12-06 14:49:48.762 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.threads.count, value=94
2024-12-06 14:49:48.762 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.threads.daemon.count, value=93
2024-12-06 14:49:48.762 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.threads.deadlock.count, value=0
2024-12-06 14:49:48.763 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.threads.deadlocks, value=[]
2024-12-06 14:49:48.763 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.threads.new.count, value=0
2024-12-06 14:49:48.763 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.threads.peak.count, value=94
2024-12-06 14:49:48.763 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.threads.runnable.count, value=82
2024-12-06 14:49:48.763 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.threads.terminated.count, value=0
2024-12-06 14:49:48.763 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.threads.timed_waiting.count, value=10
2024-12-06 14:49:48.764 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.threads.total_started.count, value=95
2024-12-06 14:49:48.764 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.threads.waiting.count, value=2
2024-12-06 14:49:48.764 [metrics-logger-reporter-1-thread-1] INFO  Application - type=COUNTER, name=ktor.calls.active, count=1
