team_id,peerName
171873,17Б
171874,20А
171875,lip-1
171876,17В
171877,14Е
171878,21В
171879,12Ж
171880,13Д
171881,15Б
171882,10Б
171883,15К
171884,null
171885,15Д
171886,12К
171887,15И
171888,5Г
171889,null
171890,4К
171891,1Г
171892,9Г
171893,null
171894,5М
171895,6И
171896,7В
171897,21Б
171898,2А
171899,null
171900,10А
171901,18В
171902,14В
171903,8М
171904,18К
171905,4Б
171906,6Е
171907,null
171908,11Б
171909,22А
171910,15Ж
171911,10М
171912,11В
171913,null
171914,18Д
171915,6К
171916,10И
171917,6А
171918,3В
171919,7Г
171920,22Е
171921,null
171922,16М
171923,3Л
171924,17М
171925,null
171926,null
171927,13Е
171928,8З
171929,7К
171930,19Д
171931,10З
171932,23Д
171933,3Д
171934,11Г
171935,null
171936,16Д
171937,null
171938,5З
171939,null
171940,8А
171941,null
171942,null
171943,35Г
171944,38Д
171945,15Е
171946,30Б
171947,4З
171948,1Б
171949,null
171950,9И
171951,12Г
171952,35В
171953,null
171954,39А
171955,3Ж
171956,14Б
171957,19В
171958,30Е
171959,17Л
171960,37Е
171961,11Е
171962,28Г
171963,null
171964,null
171965,null
171966,36А
171967,2Е
171968,31Д
171969,37Г
171970,7Е
171971,33З
171972,8Л
171973,17К
171974,lip-2
171975,9М
171976,14Д
171977,27З
171978,18Л
171979,null
171980,23В
171981,null
171982,29Е
171983,20Д
171984,34Г
171985,null
171986,null
171987,37З
171988,null
171989,39З
171990,null
171991,11Ж
171992,7Л
171993,4А
171994,4М
171995,null
171996,8К
171997,null
171998,1А
171999,12В
172000,11З
172001,15Г
172002,3Б
172003,null
172004,32Г
172005,10Ж
172006,null
172007,8И
172008,12Б
172009,26Д
172010,10Е
172011,18А
172012,33А
172013,null
172014,40Е
172015,null
172016,null
172017,null
172018,39Е
172019,27В
172020,null
172021,34В
172022,14А
172023,3А
172024,11А
172025,11И
172026,28З
172027,9Д
172028,lip-3
172029,8Г
172030,5Б
172031,null
172032,14К
172033,8Д
172034,31Е
172035,20Г
172036,12Д
172037,null
172038,6Б
172039,41А
172040,6В
172041,13З
172042,34А
172043,12А
172044,9Ж
172045,null
172046,33Д
172047,26Г
172048,12Л
172049,10Д
172050,30З
172051,null
172052,18З
172053,3З
172054,1Е
172055,15В
172056,null
172057,10В
172058,30Д
172059,null
172060,15А
172061,26В
172062,7Ж
172063,1В
172064,40Д
172065,31Б
172066,15З
172067,41В
172068,29В
172069,null
172070,20Е
172071,22Г
172072,41Д
172073,27Ж
172074,26А
172075,null
172076,19Г
172077,39Г
172078,17Д
172079,null
172080,18М
172081,16Ж
172082,39Д
172083,5К
172084,null
172085,null
172086,40В
172087,31Г
172088,16Е
172089,11М
172090,9А
172091,null
172092,lip-4
172093,3И
172094,5А
172095,null
172096,4Г
172097,15Л
172098,null
172099,19Б
172100,null
172101,null
172102,7А
172103,13Л
172104,21Г
172105,37В
172106,13Б
172107,39Б
172108,null
172109,32Е
172110,37А
172111,23Б
172112,null
172113,15М
172114,13В
172115,16Б
172116,40Б
172117,null
172118,5Д
172119,null
