team_id,peerName
172120,41Ж
172121,34Ж
172122,null
172123,null
172124,null
172125,40Г
172126,3К
172127,null
172128,35Е
172129,23Г
172130,13И
172131,4Д
172132,22Д
172133,3М
172134,13А
172135,1Д
172136,14Г
172137,16Г
172138,21А
172139,3Е
172140,null
172141,7И
172142,null
172143,null
172144,16З
172145,null
172146,null
172147,24Б
172148,null
172149,12М
172150,28Ж
172151,null
172152,null
172153,32В
172154,18Б
172155,37Д
172156,null
172157,17З
172158,18Е
172159,8В
172160,9Е
172161,14З
172162,17Е
172163,17Г
172164,null
172165,28Е
172166,null
172167,34З
172168,12З
172169,null
172170,2В
172171,6З
172172,10Л
172173,41Е
172174,17Ж
172175,35Б
172176,16Л
172177,38Б
172178,28Б
172179,null
172180,26Б
172181,null
172182,null
172183,26Е
172184,32Д
172185,null
172186,3Г
172187,14Ж
172188,null
172189,36Д
172190,21Д
172191,18Ж
172192,28Д
172193,9В
172194,null
172195,2Б
172196,4Л
172197,41З
172198,38В
172199,4И
172200,null
172201,14М
172202,28А
172203,null
172204,30А
172205,30Г
172206,7Д
172207,34Б
172208,32Б
172209,39В
172210,null
172211,11Л
172212,28В
172213,null
172214,27Б
172215,null
172216,null
172217,38А
172218,27Д
172219,7Б
172220,36Б
172221,null
172222,21Е
172223,38З
172224,14Л
172225,22Б
172226,11К
172227,30Ж
172228,30В
172229,lip-5
172230,33Е
172231,null
172232,6М
172233,12И
172234,null
172235,null
172236,7З
172237,null
172238,10Г
172239,null
172240,27А
172241,38Е
172242,6Д
172243,37Ж
172244,14И
172245,31В
172246,18Г
172247,9Б
172248,lip-6
172249,35А
172250,16А
172251,34Е
172252,29А
172253,33В
172254,null
172255,lip-7
172256,16В
172257,38Ж
172258,5В
172259,12Е
172260,null
172261,11Д
172262,16И
172263,13Г
172264,4В
172265,8Б
172266,null
172267,35Д
172268,13М
172269,null
172270,33Ж
172271,39Ж
172272,33Б
172273,null
172274,9К
172275,34Д
172276,null
172277,32А
172278,null
172279,null
172280,9Л
172281,null
172282,31Ж
172283,17И
172284,29Б
172285,17А
172286,41Г
172287,5Ж
172288,8Е
172289,null
172290,4Ж
172291,33Г
172292,36Е
172293,31А
172294,31З
172295,2Д
172296,5Л
172297,16К
172298,null
172299,36Ж
172300,null
172301,null
172302,null
172303,20Б
172304,24A
172305,6Л
172306,6Г
172307,41Б
172308,null
172309,null
172310,4Е
172311,null
172312,29Г
172313,null
172314,38Г
172315,null
172316,29Д
172317,null
172318,null
172319,40А
172320,27Е
172321,null
172322,22В
172323,null
172324,null
172325,36Г
172326,null
172327,null
172328,23Е
172329,null
172330,20В
172331,13Ж
172332,19А
172333,6Ж
172334,null
172335,null
172336,36В
172337,5Е
172338,9З
172339,null
172340,23А
172341,36З
172342,8Ж
172343,null
172344,19Е
172345,lip-8
172346,null
172347,2Г
172348,13К
172349,null
172350,27Г
172351,null
172352,null
172353,37Б
172354,7М
172355,null
172356,10К
