team_id,e_d,GrabberName
MAIN.ecnerwal,Andrew He,Andrew_He_iK2
MAIN.晃平 森田,Kohei Morita,Kohei_Morita_DNx
STAFF.magor1744,Maksim Gorokhovskii ,Maksim_Gorokhovskii_kAS
JUNIOR.Вадим Кустов,Vadim Kustov,Vadim_Kustov_RMf
