org_id,icpc_id,displayName,fullName,country,url,longitude,latitude,twitter_hashtag,twitter_account,
1452,1452,Perm SU,Perm State University,RUS,http://www.psu.ru,56.188446,58.008194,"#PermSU",@PermUniversity
1456,1456,Petrozavodsk SU,Petrozavodsk State University,RUS,http://www.petrsu.ru,34.35256,61.786148,"#PetrSU",
1548,1548,SFedU,Southern Federal University,RUS,https://sfedu.ru/index_eng.php,39.74468,47.203247,,
1558,1558,RAU,Russian-Armenian (Slavonick) State University,ARM,http://www.rau.am,44.50346,40.210606,,
1560,1560,RSATU,Rybinsk State Aviation Technical University,RUS,https://www.rsatu.ru/,38.838043,58.04438,,
1584,1584,BSTU,St. Petersburg Baltic State Technical University,RUS,http://www.voenmeh.ru/univercity,30.317228,59.916363,,
1587,1587,Polytech,St. Petersburg Polytechnic University,RUS,http://www.en.spbstu.ru/about_the_university/,30.372923,60.00736,,
1592,1592,SUAI,St. Petersburg University of Aerospace Instrumentation,RUS,http://suai.ru/m_univ_rect.shtml,30.296608,59.92949,,
1623,1623,Saratov State U,Saratov State University,RUS,http://sgu.ru,46.010204,51.538864,"#SGU",@SGU_RU
1632,1632,Shakarim U,Semey University named after Shakarim,KAZ,https://shakarim.edu.kz/en/,80.21269,50.398838,,
1704,1704,SSTU,Siberian State Transport University,RUS,https://www.stu.ru/,82.92632,55.065678,,
1706,1706,SibSUTI,Siberian State University of Telecommunication & Informatics,RUS,https://sibsutis.ru/en/,99.196655,61.01371,,
1759,1759,South Ural SU,South Ural State University,RUS,http://www.susu.ac.ru/en/,60.58196,55.182518,,
1802,1802,St. Petersburg SU,St. Petersburg State University,RUS,https://english.spbu.ru,30.30011,59.94087,"#SPBU",@Spb_university
1844,1844,SDU,SDU University,KAZ,https://sdu.edu.kz/en/,76.669044,43.20775,"#sdukz",@sdukz
1868,1868,TamSU,Tambov State University,RUS,https://www.tsutmb.ru,41.44628,52.721123,,
1887,1887,TSUE,Tashkent State University of Economics,UZB,http://www.tsue.uz,69.24948,41.310806,,
2010,2010,Tomsk PU,Tomsk Polytechnic University,RUS,http://www.tpu.ru,84.9501,56.4654,"#TPU",
2015,2015,TSU,Tomsk State University,RUS,https://en.tsu.ru/,84.94751,56.4695,,
2044,2044,TulaSU,Tula State University,RUS,https://tulsu.ru/en/,37.587074,54.166615,,
2052,2052,Tyumen SU,Tyumen State University,RUS,https://www.utmn.ru/en/,65.54403,57.152233,,
2615,2615,UrSU,Urgench State University,UZB,https://urdu.uz,60.607117,41.556343,,
2650,2650,VSU,Vitebsk State University,BLR,http://www.vsu.by,30.225323,55.177753,,
2659,2659,Volgograd STU,Volgograd State Technical University,RUS,http://www.vstu.ru,44.56147,48.756542,"#VSTU",
2663,2663,Voronezh SU,Voronezh State University,RUS,https://www.vsu.ru/english/,39.223385,51.680412,,
2686,2686,West Kazakhstan U,Mahambet Utemisov West Kazakhstan University,KAZ,https://wku.edu.kz/en/,51.37596,51.193264,,
2727,2727,NEFU,North-Eastern Federal University,RUS,https://www.s-vfu.ru/en/,129.70947,62.01995,,
